Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
175,"MAYUR-FRIENDSHIP-MIRROR SCREW-1.5""",0.0,47.0,-47.0,47000000000.0
176,"MAYUR-FRIENDSHIP-MIRROR SCREW-2.5""",0.0,13.0,-13.0,13000000000.0
177,MISC SCREW 6X19 DRYWALL GYPSUM,8000.0,5412.0,2588.0,0.6764999999999154
178,OMNI - SCREW-8X35-SS-CSK+-PHILLIPS,0.0,2376.0,-2376.0,2376000000000.0
179,OMNI - SCREW SS 100 X 8 CST + PHILLIPS,500.0,253.0,247.0,0.505999999998988
180,OMNI - SCREW SS 10X100 CSK+PHILLIPS,8000.0,22404.0,-14404.0,2.8004999999996496
181,OMNI - SCREW SS 10x32 Csk - Slotted,15.0,0.0,15.0,0.0
182,OMNI - SCREW-SS-10X50-CSK+PHILLIPS,0.0,243.0,-243.0,243000000000.0
183,OMNI - SCREW SS 10X60 CSK+ PHILLIPS,2000.0,14020.0,-12020.0,7.009999999996495
184,OMNI - SCREW SS 10X75 Csk+ PHILLIPS,6500.0,17150.0,-10650.0,2.6384615384611325
185,OMNI - SCREW SS 4X13 Csk+ Phillips,0.0,2512.0,-2512.0,2512000000000.0
186,OMNI - SCREW SS 4X13 Csk- Slotted,0.0,688.0,-688.0,688000000000.0
187,OMNI - SCREW SS 6X13 Csk+ Phillips,0.0,5994.0,-5994.0,5994000000000.0
188,OMNI - SCREW SS 6X13 Csk- Slotted,0.0,700.0,-700.0,700000000000.0
189,OMNI - SCREW SS 6X16 Csk+ Phillips,0.0,700.0,-700.0,700000000000.0
190,OMNI - SCREW SS 6x19 Csk+ Phillips,52500.0,76324.0,-23824.0,1.4537904761904485
191,OMNI - SCREW SS 6X25 Csk+ Phillips,23643.0,10590.0,13053.0,0.44791270143380923
192,OMNI - SCREW SS 6X25 Csk- Slotted,0.0,1148.0,-1148.0,1148000000000.0
193,OMNI - SCREW SS 6X32 Csk+ Phillips,0.0,1328.0,-1328.0,1328000000000.0
194,OMNI - SCREW SS 6x38 Csk- Soltted,50.0,1000.0,-950.0,19.9999999996
195,OMNI SCREW SS - 6X50 CST + PHILLIPS,0.0,6350.0,-6350.0,6350000000000.0
196,OMNI - SCREW SS 8x16 Csk+ Phillips,0.0,1428.0,-1428.0,1428000000000.0
197,OMNI - SCREW SS 8x19 Csk- Slotted,0.0,724.0,-724.0,724000000000.0
198,OMNI - SCREW SS 8x25 Csk- Slotted,0.0,125.0,-125.0,124999999999.99998
199,OMNI - SCREW SS 8X32 Csk+ Phillips,8000.0,23468.0,-15468.0,2.933499999999633
200,OMNI - SCREW SS 8x32 Csk- Slotted,0.0,428.0,-428.0,428000000000.0
201,OMNI - SCREW SS 8X38 Csk+ Phillips,11000.0,9770.0,1230.0,0.8881818181817374
202,OMNI - SCREW SS 8x38 Csk- Soltted,0.0,22.0,-22.0,22000000000.0
203,OMNI - SCREW SS 8X45 Csk+ Phillips,1000.0,1700.0,-700.0,1.6999999999983
204,OMNI - SCREW SS 8X50 CSK+PHILLIPS,0.0,1362.0,-1362.0,1362000000000.0
205,OMNI - SCREW SS 8X50 Csk- Soltted,0.0,176.0,-176.0,176000000000.0
206,OMNI - SCREW SS 8X60 Csk+ Phillips,7000.0,5517.0,1483.0,0.7881428571427445
207,OMNI - SCREW SS 8x60 Csk- Soltted,0.0,50.0,-50.0,50000000000.0
208,OMNI - SCREW SS 8X75 Csk+ Phillips,5000.0,17171.0,-12171.0,3.4341999999993127
209,OMNI - SCREW SS 8x75 Csk- Soltted,90.0,100.0,-10.0,1.1111111110987655
210,PENTAGON-DRYWALL GYPSUM SCREW 6X19 CSK+,1500.0,3357.0,-1857.0,2.237999999998508
211,PENTAGON-DRYWALL GYPSUM SCREW-6X25 CSK+,2150.0,2250.0,-100.0,1.04651162790649
212,PENTAGON-DRYWALL GYPSUM SCREW-6X50 CSK+,3742.0,2300.0,1442.0,0.6146445750933686
213,SATYAM-H.THREAD-10X50-CSK-,0.0,17.0,-17.0,16999999999.999998
214,SATYAM-H.THREAD-SCREW-8X35,0.0,58.0,-58.0,58000000000.0
215,SATYAM-H.THREAD-SCREW-SS-10X75,0.0,8.0,-8.0,7999999999.999999
216,SHARP-HANDLE SCREW-M4X25 (1'),1750.0,261.0,1489.0,0.14914285714277192
217,SHARP-HANDLE SCREW-M4X32 (1.25'),278.0,6.0,272.0,0.021582733812872006
218,SHARP-HANDLE SCREW-M4X38 (1.5'),0.0,20.0,-20.0,20000000000.0
219,EBCO-HS 50 PDT SLIDE TRACK-2 DOOR-8 FT.,4.0,2.0,2.0,0.499999999875
220,EBCO SLIDING TRACK SDF 60-100 AT2 (244 MTR),1.0,1.0,0.0,0.9999999989999999
